Month,Month_Num,ITF-G_mean,ITF-G_std,ITF-G_ci_lower,ITF-G_ci_upper,ITF-G_n_samples,ITF-T_mean,ITF-T_std,ITF-T_ci_lower,ITF-T_ci_upper,ITF-T_n_samples,ITF-S_mean,ITF-S_std,ITF-S_ci_lower,ITF-S_ci_upper,ITF-S_n_samples,MEI_mean,MEI_std,MEI_ci_lower,MEI_ci_upper,MEI_n_samples,DMI_mean,DMI_std,DMI_ci_lower,DMI_ci_upper,DMI_n_samples
Jan,1,6.749775481164342,3.8381055040659247,5.441456651822523,8.028684264193357,34,9.066248021631937,2.4786715603661835,8.22764961309998,9.88402373341831,34,-1.4275381540452414,1.1199168660940744,-1.800166502874351,-1.0537649200823407,34,-0.0348261323529412,0.9512317638263089,-0.3411764705882353,0.2897058823529411,34,-0.037463795588235295,0.2121153571538007,-0.10814779411764706,0.035794117647058823,34
Feb,2,4.29480291780513,4.386411470778614,2.815777298548976,5.74725823189625,34,6.808362544122986,2.6026005743683185,5.936645547952827,7.681642169791273,34,-1.4969512919519599,0.8294549907791418,-1.7793360844510326,-1.2252827569503133,34,-0.04518254411764704,0.9385931919265108,-0.35177205882352947,0.27647058823529413,34,-0.06000281470588236,0.21370707444495157,-0.13302941176470587,0.010030147058823461,34
Mar,3,3.0720120537611533,4.705369921564935,1.4976038456049219,4.6420226461247625,34,3.725114092638364,2.7593230606003494,2.798522109486324,4.660911691052168,34,0.8557412890211242,1.3827587415050409,0.3493355648425915,1.2798943663397748,34,-0.06856580882352942,0.9399531111768675,-0.37823529411764706,0.25383088235294055,34,-0.05604553970588236,0.23905374299835278,-0.13694117647058823,0.02270588235294117,34
Apr,4,-0.2596897424315052,4.8836092912937445,-1.8901720020876716,1.3885286728279909,34,-2.391696297860436,2.903811261439718,-3.3470805118169062,-1.3909005302663422,34,3.4313748598013403,0.9797781214169438,3.0815433847608715,3.741844770204758,34,-0.059126588235294125,0.9068055360863302,-0.35323529411764704,0.2582573529411746,34,-0.05156864705882354,0.2437795674552125,-0.1337375,0.03038455882352921,34
May,5,0.6762344174144658,5.0544457239593275,-1.0061629491206716,2.4091149078198675,34,0.25245931267153215,2.951072351014567,-0.7188601300388126,1.2702636517471586,34,1.7045517408115607,1.1983262301689863,1.2895344496247882,2.0928740533175856,34,-0.057619588235294124,0.9152760186476092,-0.3523529411764706,0.2541249999999994,34,-0.08606017647058822,0.3007961767798885,-0.1878573529411765,0.0170904411764704,34
Jun,6,10.461413457192048,4.749456505923243,8.909433225543637,12.044311898520395,34,9.946992246643608,2.8382555202935347,9.037574402926031,10.930937202619864,34,1.802499210376529,0.9646552135349075,1.4586149206681152,2.10838448046632,34,-0.057723544117647074,0.9780993237893745,-0.37441176470588233,0.2870661764705876,34,-0.11787046911764705,0.31692210301139084,-0.22541176470588234,-0.011735294117647059,34
Jul,7,11.898527057766088,4.517436729319345,10.390005297195962,13.407965497774038,34,11.722605305926514,2.6931982394843765,10.859366042246364,12.653146391654994,34,1.457766089240184,0.9840017522760344,1.1156880427180653,1.775469446736828,34,-0.0593214117647059,1.0027313908592534,-0.39236029411764706,0.27499999999999997,34,-0.08629132794117647,0.34148414245784975,-0.19976470588235293,0.029941176470588242,34
Aug,8,10.20294464685625,4.135446585798065,8.85047249713526,11.623762758157035,34,8.829232201841489,2.5256436163938254,7.994032976674935,9.701171009818697,34,2.611781011806305,1.0790843443998988,2.2549567996752726,2.9785350165458766,34,-0.05661344117647061,0.9975525413051484,-0.3923529411764706,0.2744117647058823,34,-0.07064140147058823,0.39249426527007525,-0.19791176470588234,0.06432794117647019,34
Sep,9,13.017217520651911,3.7966813914968562,11.767367431074716,14.327738300192982,34,10.40334998759325,2.360418556272909,9.609405347846051,11.194282559836378,34,4.027745250222122,0.8269842737326059,3.7482154059619304,4.302318456528314,34,-0.05580601470588234,1.0055908160247669,-0.3894117647058823,0.2811838235294111,34,-0.07928166911764706,0.36099317537089237,-0.1992073529411765,0.04273602941176464,34
Oct,10,5.115748055392236,3.5889100092205632,3.938261461713862,6.356712340088591,34,3.257208404487108,2.2898984127262842,2.4972327041112687,4.025257083853358,34,2.8953980044926118,1.082384078186259,2.5357121882133504,3.253139196776949,34,-0.04742614705882354,1.002346597950103,-0.38029411764705884,0.28970588235294115,34,-0.1161852117647059,0.4271924853624804,-0.26123676470588236,0.030001470588235164,34
Nov,11,2.672221993939652,3.651077684706107,1.466684497093832,3.9323713906561952,34,0.8242135258341367,2.291106665690156,0.037570258759107245,1.5864240058810029,34,2.763159641842393,1.0549688762996734,2.405790952708766,3.117471536007757,34,-0.046880838235294105,0.9842628492437294,-0.374125,0.28765441176470524,34,-0.07672441911764706,0.3669031391182279,-0.1925308823529412,0.05164852941176457,34
Dec,12,4.019980034224811,3.5547499709959305,2.8322318434667135,5.200647124459691,34,3.6450294026956302,2.362295586665784,2.8434192702565433,4.4286352159346976,34,1.3574615094381468,1.1403587133535198,0.974757212672371,1.739844252754921,34,-0.05276541176470588,0.9701307745470108,-0.3761764705882353,0.27470588235294113,34,-0.04130873235294118,0.2600678661094042,-0.12497205882352944,0.05023529411764706,34
